category,tag,suffix,count
ar,VMIP1S0,o
ar,VMIP2S0,as
ar,VMIP3S0,a
ar,VMIP3P0,an
ar,VMIS1S0,é
ar,VMM01P0,emos
ar,VMM02S0,a
ar,VMM03S0,e
ar,VMM03P0,en
ar,VMSP1S0,e
ar,VMSP1P0,emos
ar,VMSP2S0,es
ar,VMSP2P0,éis
ar,VMSP3S0,e
ar,VMSP3P0,en
er,VMIP1S0,o
er,VMIP2P0,ais
er,VMIP2S0,es
er,VMIP3P0,en
er,VMIP3S0,e
er,VMIS1P0,imos
er,VMIS1S0,e
er,VMIS2P0,isteis
er,VMIS2S0,iste
er,VMIS3P0,ieron
er,VMIS3S0,o
er,VMM00PF,as
er,VMM00PM,os
er,VMM00SF,a
er,VMM00SM,o
er,VMM01P0,amos
er,VMM02S0,e
er,VMM02S0,én
er,VMM03P0,an
er,VMM03S0,a
er,VMP00PF,as
er,VMP00PM,os
er,VMP00SF,a
er,VMP00SM,o
er,VMSF1P0,iéremos
er,VMSF1S0,iere
er,VMSF2P0,iereis
er,VMSF2S0,ieres
er,VMSF3P0,ieren
er,VMSF3S0,iere
er,VMSI1P0,iésemos
er,VMSI1S0,iese
er,VMSI2P0,ieseis
er,VMSI2S0,ieses
er,VMSI3P0,iesen
er,VMSI3S0,iese
er,VMSP1P0,amos
er,VMSP1S0,a
er,VMSP2P0,áis
er,VMSP2S0,as
er,VMSP3P0,an
er,VMSP3S0,a
ir,VMG0000,iendo
ir,VMG0000,endo
ir,VMIC1P0,íamos
ir,VMIC1S0,ía
ir,VMIC2P0,íais
ir,VMIC2S0,ías
ir,VMIC3P0,ían
ir,VMIC3S0,ía
ir,VMIF1P0,emos
ir,VMIF1S0,é
ir,VMIF2P0,éis
ir,VMIF2S0,ás
ir,VMIF3P0,án
ir,VMIF3S0,á
ir,VMIP1S0,o
ir,VMIP2S0,es
ir,VMIP3P0,en
ir,VMIP3S0,e
ir,VMIS1S0,e
ir,VMIS1P0,imos
ir,VMIS2P0,isteis
